,Заказ наряд,Дата,Цена,ТС,Гос номер
815,"Заказ-наряд №: 4529 от 04.05.2022, ТС: Opel Astra гос. номер: С169РА89",2022-05-04,5000,Opel Astra,С169РА89
816,"Заказ-наряд №: 4533 от 04.05.2022, ТС: LADA 217230 LADA PRIORA гос. номер:Н236УЕ72",2022-05-04,1400,LADA 217230 LADA PRIORA,236УЕ72
817,"Заказ-наряд №: 4560 от 06.05.2022, ТС: LADA VESTA GFK 110 гос. номер:Х365ЕК797",2022-05-06,1500,LADA VESTA GFK 110,365ЕК797
818,"Заказ-наряд №: 4562 от 06.05.2022, ТС: CADILAC GMT926(ESCALADE) гос. номер:В712УУ89",2022-05-06,3000,CADILAC GMT926(ESCALADE),712УУ89
819,"Заказ-наряд №: 4564 от 06.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-06,1000,Toyota Hilux Pick Up,777
820,"Заказ-наряд №: 4568 от 10.05.2022, ТС: Kia Magentis гос. номер: Е268МТ72",2022-05-10,500,Kia Magentis,Е268МТ72
821,"Заказ-наряд №: 4578 от 07.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-07,3000,Toyota Hilux Pick Up,777
822,"Заказ-наряд №: 4579 от 07.05.2022, ТС: Kia Rio гос. номер: АТ00772",2022-05-07,1000,Kia Rio,АТ00772
823,"Заказ-наряд №: 4584 от 08.05.2022, ТС: Mazda MPVLX гос. номер: У082НА72",2022-05-08,1000,Mazda MPVLX,У082НА72
824,"Заказ-наряд №: 4585 от 08.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-08,2000,Toyota Hilux Pick Up,777
825,"Заказ-наряд №: 4588 от 08.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-08,2000,Toyota Hilux Pick Up,777
826,"Заказ-наряд №: 4598 от 10.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-10,500,Toyota Hilux Pick Up,777
827,"Заказ-наряд №: 4601 от 10.05.2022, ТС: Citroen C4 гос. номер: С469ХА72",2022-05-10,1500,Citroen C4,С469ХА72
828,"Заказ-наряд №: 4603 от 10.05.2022, ТС: ACURA MDX гос. номер: О444МО 72",2022-05-10,2000,ACURA MDX,О444МО 72
829,"Заказ-наряд №: 4618 от 11.05.2022, ТС: Kia Rio гос. номер: АТ00772",2022-05-11,2500,Kia Rio,АТ00772
830,"Заказ-наряд №: 4621 от 11.05.2022, ТС: LADA VESTA гос. номер: Т087ЕР797",2022-05-11,1000,LADA VESTA,Т087ЕР797
831,"Заказ-наряд №: 4624 от 11.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-11,500,Toyota Hilux Pick Up,777
832,"Заказ-наряд №: 4627 от 11.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-11,1000,Toyota Hilux Pick Up,777
833,"Заказ-наряд №: 4651 от 14.05.2022, ТС: Kia KIA DE(JB RIO) гос. номер: Т453РР72",2022-05-14,300,Kia KIA DE(JB RIO),Т453РР72
834,"Заказ-наряд №: 4653 от 13.05.2022, ТС: LADA VESTA гос. номер: Т087ЕР797",2022-05-13,1500,LADA VESTA,Т087ЕР797
835,"Заказ-наряд №: 4656 от 13.05.2022, ТС: Nissan Qashqai гос. номер: Т971ОТ 72",2022-05-13,2001,Nissan Qashqai,Т971ОТ 72
836,"Заказ-наряд №: 4661 от 14.05.2022, ТС: Nissan Almera гос. номер: Р918ХА72",2022-05-14,150,Nissan Almera,Р918ХА72
837,"Заказ-наряд №: 4664 от 14.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-14,500,Toyota Hilux Pick Up,777
838,"Заказ-наряд №: 4665 от 14.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-14,1000,Toyota Hilux Pick Up,777
839,"Заказ-наряд №: 4666 от 14.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-14,1000,Toyota Hilux Pick Up,777
840,"Заказ-наряд №: 4668 от 14.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-14,2000,Toyota Hilux Pick Up,777
841,"Заказ-наряд №: 4678 от 15.05.2022, ТС: Toyota Camry гос. номер: Х625АМ186",2022-05-15,1000,Toyota Camry,Х625АМ186
842,"Заказ-наряд №: 4679 от 15.05.2022, ТС: Nissan X-TRAIL гос. номер: Х156КМ72",2022-05-15,3500,Nissan X-TRAIL,Х156КМ72
843,"Заказ-наряд №: 4701 от 17.05.2022, ТС: Mazda CX-5 гос. номер: В089МК 89",2022-05-17,500,Mazda CX-5,В089МК 89
844,"Заказ-наряд №: 4704 от 17.05.2022, ТС: Nissan Tiida гос. номер: Р244ТУ72",2022-05-17,750,Nissan Tiida,Р244ТУ72
845,"Заказ-наряд №: 4705 от 17.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-17,1000,Toyota Hilux Pick Up,777
846,"Заказ-наряд №: 4706 от 20.05.2022, ТС: Toyota Ipsum гос. номер: С614МУ72",2022-05-20,3000,Toyota Ipsum,С614МУ72
847,"Заказ-наряд №: 4707 от 17.05.2022, ТС: LADA GFL 110 VESTA гос. номер:В359ЕХ702",2022-05-17,1000,LADA GFL 110 VESTA,359ЕХ702
848,"Заказ-наряд №: 4708 от 17.05.2022, ТС: Skoda Yeti гос. номер: А362ХХ89",2022-05-17,3800,Skoda Yeti,А362ХХ89
849,"Заказ-наряд №: 4713 от 18.05.2022, ТС: LADA VESTA гос. номер: Н169ЕН797",2022-05-18,1000,LADA VESTA,Н169ЕН797
850,"Заказ-наряд №: 4717 от 17.05.2022, ТС: Hyundai Sonata гос. номер: У824МО72",2022-05-17,1000,Hyundai Sonata,У824МО72
851,"Заказ-наряд №: 4722 от 18.05.2022, ТС: LADA VESTA GFK 110 гос. номер:Х801ЕР797",2022-05-18,1000,LADA VESTA GFK 110,801ЕР797
852,"Заказ-наряд №: 4723 от 18.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-18,1500,Toyota Hilux Pick Up,777
853,"Заказ-наряд №: 4724 от 18.05.2022, ТС: LADA VESTA гос. номер: Т342РХ72",2022-05-18,1000,LADA VESTA,Т342РХ72
854,"Заказ-наряд №: 4729 от 18.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-18,1000,Toyota Hilux Pick Up,777
855,"Заказ-наряд №: 4730 от 18.05.2022, ТС: Hyundai Accent гос. номер: У264ЕА 102",2022-05-18,2500,Hyundai Accent,У264ЕА 102
856,"Заказ-наряд №: 4739 от 18.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-18,1000,Toyota Hilux Pick Up,777
857,"Заказ-наряд №: 4741 от 19.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-19,2000,Toyota Hilux Pick Up,777
858,"Заказ-наряд №: 4791 от 20.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-20,2000,Toyota Hilux Pick Up,777
859,"Заказ-наряд №: 4818 от 22.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-22,3500,Toyota Hilux Pick Up,777
860,"Заказ-наряд №: 4841 от 26.05.2022, ТС: ВАЗ Ларгус гос. номер: Х605ХК174",2022-05-26,3500,ВАЗ Ларгус,Х605ХК174
861,"Заказ-наряд №: 4846 от 24.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-24,2000,Toyota Hilux Pick Up,777
862,"Заказ-наряд №: 4853 от 24.05.2022, ТС: ВАЗ Нива Шевроле гос. номер: У369МТ72",2022-05-24,3600,ВАЗ Нива Шевроле,У369МТ72
863,"Заказ-наряд №: 4855 от 24.05.2022, ТС: MINI COOPER гос. номер: У602МН 72",2022-05-24,2000,MINI COOPER,У602МН 72
864,"Заказ-наряд №: 4856 от 24.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-24,2500,Toyota Hilux Pick Up,777
865,"Заказ-наряд №: 4865 от 25.05.2022, ТС: Nissan X-TRAIL гос. номер: Е318ВМ186",2022-05-25,500,Nissan X-TRAIL,Е318ВМ186
866,"Заказ-наряд №: 4868 от 25.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-25,2500,Toyota Hilux Pick Up,777
867,"Заказ-наряд №: 4873 от 25.05.2022, ТС: LADA 219010 GRANTA гос. номер: У567ХВ72",2022-05-25,5100,LADA 219010 GRANTA,У567ХВ72
868,"Заказ-наряд №: 4881 от 25.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-25,1500,Toyota Hilux Pick Up,777
869,"Заказ-наряд №: 4883 от 28.05.2022, ТС: Skoda Octavia гос. номер: Е539УУ 72",2022-05-28,9500,Skoda Octavia,Е539УУ 72
870,"Заказ-наряд №: 4884 от 25.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-25,4500,Toyota Hilux Pick Up,777
871,"Заказ-наряд №: 4885 от 25.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-25,7200,Toyota Hilux Pick Up,777
872,"Заказ-наряд №: 4899 от 27.05.2022, ТС: Skoda Fabia гос. номер: М300УТ72",2022-05-27,5000,Skoda Fabia,М300УТ72
873,"Заказ-наряд №: 4901 от 27.05.2022, ТС: Ford Focus гос. номер: С359РК72",2022-05-27,2000,Ford Focus,С359РК72
874,"Заказ-наряд №: 4902 от 27.05.2022, ТС: LADA  GRАNТА гос. номер: Р934КХ 72",2022-05-27,2000,LADA  GRАNТА,Р934КХ 72
875,"Заказ-наряд №: 4906 от 28.05.2022, ТС: Audi А 7 гос. номер: У529ХС72",2022-05-28,1000,Audi А 7,У529ХС72
876,"Заказ-наряд №: 4915 от 28.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-28,1000,Toyota Hilux Pick Up,777
877,"Заказ-наряд №: 4920 от 28.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-28,3000,Toyota Hilux Pick Up,777
878,"Заказ-наряд №: 4924 от 27.05.2022, ТС: ЛАДА ГРАНТА гос. номер: К840ЕХ196",2022-05-27,3000,ЛАДА ГРАНТА,К840ЕХ196
879,"Заказ-наряд №: 4925 от 29.05.2022, ТС: Skoda Octavia гос. номер: Р038МО72",2022-05-29,1500,Skoda Octavia,Р038МО72
880,"Заказ-наряд №: 4935 от 29.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-29,400,Toyota Hilux Pick Up,777
881,"Заказ-наряд №: 4958 от 31.05.2022, ТС: LADA VESTA GFK 110 гос. номер:М217ЕР797",2022-05-31,2500,LADA VESTA GFK 110,217ЕР797
882,"Заказ-наряд №: 4963 от 10.06.2022, ТС: Fiat Doblo гос. номер: М300СХ72",2022-06-10,6500,Fiat Doblo,М300СХ72
883,"Заказ-наряд №: 4967 от 31.05.2022, ТС: LADA VESTA гос. номер: У761ЕТ797",2022-05-31,1000,LADA VESTA,У761ЕТ797
884,"Заказ-наряд №: 4973 от 31.05.2022, ТС: Subaru XV гос. номер: С550ХХ86",2022-05-31,2000,Subaru XV,С550ХХ86
885,"Заказ-наряд №: 4975 от 31.05.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-05-31,2000,Toyota Hilux Pick Up,777
886,"Заказ-наряд №: 4982 от 31.05.2022, ТС: ВАЗ Веста гос. номер: Т444ЕР72",2022-05-31,3000,ВАЗ Веста,Т444ЕР72
887,"Заказ-наряд №: 4984 от 01.06.2022, ТС: Hyundai Accent гос. номер: У404ХН72",2022-06-01,5000,Hyundai Accent,У404ХН72
888,"Заказ-наряд №: 4986 от 01.06.2022, ТС: Volkswagen Tiguan гос. номер: Н263СС 72",2022-06-01,1000,Volkswagen Tiguan,Н263СС 72
889,"Заказ-наряд №: 4990 от 01.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-01,2000,Toyota Hilux Pick Up,777
890,"Заказ-наряд №: 4992 от 01.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-01,3000,Toyota Hilux Pick Up,777
891,"Заказ-наряд №: 4993 от 01.06.2022, ТС: Volkswagen Passat гос. номер: Р279НН72",2022-06-01,2000,Volkswagen Passat,Р279НН72
892,"Заказ-наряд №: 4998 от 01.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-01,1500,Toyota Hilux Pick Up,777
893,"Заказ-наряд №: 5008 от 03.06.2022, ТС: Suzuki Jimny гос. номер: ",2022-06-03,8600,Suzuki Jimny,
894,"Заказ-наряд №: 5015 от 03.06.2022, ТС: LADA VESTA GFK 110 гос. номер: X315ET797",2022-06-03,2000,LADA VESTA GFK 110,X315ET797
895,"Заказ-наряд №: 5035 от 04.06.2022, ТС: Toyota Avensis гос. номер: А707КО155",2022-06-04,2000,Toyota Avensis,А707КО155
896,"Заказ-наряд №: 5036 от 04.06.2022, ТС: Toyota Avensis гос. номер: А707КО155",2022-06-04,1500,Toyota Avensis,А707КО155
897,"Заказ-наряд №: 5037 от 04.06.2022, ТС: Kia Ceed гос. номер: Т029ТВ72",2022-06-04,1000,Kia Ceed,Т029ТВ72
898,"Заказ-наряд №: 5042 от 04.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-04,5000,Toyota Hilux Pick Up,777
899,"Заказ-наряд №: 5049 от 28.12.2022, ТС: Toyota Land Cruiser гос. номер: Т574ТР 59",2022-12-28,4500,Toyota Land Cruiser,Т574ТР 59
900,"Заказ-наряд №: 5052 от 05.06.2022, ТС: Daewoo Nexia гос. номер: С543НК89",2022-06-05,2500,Daewoo Nexia,С543НК89
901,"Заказ-наряд №: 5068 от 07.06.2022, ТС: LADA GFL 110 VESTA гос. номер:М574ЕР797",2022-06-07,3500,LADA GFL 110 VESTA,574ЕР797
902,"Заказ-наряд №: 5069 от 07.06.2022, ТС: LADA VESTA гос. номер: К544ЕУ797",2022-06-07,2000,LADA VESTA,К544ЕУ797
903,"Заказ-наряд №: 5076 от 07.06.2022, ТС: Datsun On-Do гос. номер: С193ЕМ72",2022-06-07,1200,Datsun On-Do,С193ЕМ72
904,"Заказ-наряд №: 5080 от 07.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-07,1500,Toyota Hilux Pick Up,777
905,"Заказ-наряд №: 5083 от 07.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-07,2500,Toyota Hilux Pick Up,777
906,"Заказ-наряд №: 5084 от 07.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-07,600,Toyota Hilux Pick Up,777
907,"Заказ-наряд №: 5089 от 07.06.2022, ТС: LADA LARGUS KSA45L гос. номер:О098ХК72",2022-06-07,2600,LADA LARGUS KSA45L,098ХК72
908,"Заказ-наряд №: 5095 от 08.06.2022, ТС: ВАЗ 111940 гос. номер: О478",2022-06-08,2500,ВАЗ 111940,О478
909,"Заказ-наряд №: 5098 от 08.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-08,1000,Toyota Hilux Pick Up,777
910,"Заказ-наряд №: 5103 от 08.06.2022, ТС: Kia Optima гос. номер: Р654УС72",2022-06-08,500,Kia Optima,Р654УС72
911,"Заказ-наряд №: 5110 от 08.06.2022, ТС: LADA VESTA GFK 110 гос. номер:М544ЕР797",2022-06-08,1000,LADA VESTA GFK 110,544ЕР797
912,"Заказ-наряд №: 5142 от 16.06.2022, ТС: Мото Мото гос. номер: ",2022-06-16,6000,Мото Мото,
913,"Заказ-наряд №: 5143 от 10.06.2022, ТС: Nissan X-Trail гос. номер: Т568ХО72",2022-06-10,4000,Nissan X-Trail,Т568ХО72
914,"Заказ-наряд №: 5149 от 10.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-10,1000,Toyota Hilux Pick Up,777
915,"Заказ-наряд №: 5150 от 10.06.2022, ТС: LADA LARGUS RS035L гос. номер: Т660УК72",2022-06-10,1000,LADA LARGUS RS035L,Т660УК72
916,"Заказ-наряд №: 5151 от 10.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-10,1000,Toyota Hilux Pick Up,777
917,"Заказ-наряд №: 5153 от 10.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-10,1000,Toyota Hilux Pick Up,777
918,"Заказ-наряд №: 5158 от 11.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-11,500,Toyota Hilux Pick Up,777
919,"Заказ-наряд №: 5161 от 11.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-11,1400,Toyota Hilux Pick Up,777
920,"Заказ-наряд №: 5167 от 11.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-11,1750,Toyota Hilux Pick Up,777
921,"Заказ-наряд №: 5171 от 22.01.2023, ТС: Самолето Ветролет гос. номер: ",2023-01-22,1000,Самолето Ветролет,
922,"Заказ-наряд №: 5172 от 11.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-11,1500,Toyota Hilux Pick Up,777
923,"Заказ-наряд №: 5173 от 11.06.2022, ТС: Mitsubishi Pajero гос. номер: В388НУ89",2022-06-11,4000,Mitsubishi Pajero,В388НУ89
924,"Заказ-наряд №: 5184 от 12.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-12,1500,Toyota Hilux Pick Up,777
925,"Заказ-наряд №: 5187 от 12.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-12,3000,Toyota Hilux Pick Up,777
926,"Заказ-наряд №: 5188 от 12.06.2022, ТС: LADA VESTA гос. номер: Н221ЕН797",2022-06-12,1000,LADA VESTA,Н221ЕН797
927,"Заказ-наряд №: 5189 от 12.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-12,1000,Toyota Hilux Pick Up,777
928,"Заказ-наряд №: 5209 от 15.06.2022, ТС: Mazda 2 гос. номер: О300ЕР72",2022-06-15,500,Mazda 2,О300ЕР72
929,"Заказ-наряд №: 5212 от 14.06.2022, ТС: Hyundai Santa Fe гос. номер: Х935ТН163",2022-06-14,3000,Hyundai Santa Fe,Х935ТН163
930,"Заказ-наряд №: 5216 от 14.06.2022, ТС: ГАЗ 2217 гос. номер: С222СЕ72",2022-06-14,1400,ГАЗ 2217,С222СЕ72
931,"Заказ-наряд №: 5222 от 14.06.2022, ТС: LADA VESTA GFK 110 гос. номер:О338ЕК797",2022-06-14,1500,LADA VESTA GFK 110,338ЕК797
932,"Заказ-наряд №: 5225 от 14.06.2022, ТС: LADA VESTA гос. номер: Н202ЕН797",2022-06-14,1500,LADA VESTA,Н202ЕН797
933,"Заказ-наряд №: 5234 от 15.06.2022, ТС: Kia Ceed гос. номер: Т656РО72",2022-06-15,500,Kia Ceed,Т656РО72
934,"Заказ-наряд №: 5236 от 15.06.2022, ТС: Chevrolet Tahoe гос. номер: Е814ТУ186",2022-06-15,1000,Chevrolet Tahoe,Е814ТУ186
935,"Заказ-наряд №: 5237 от 15.06.2022, ТС: Renault Sandero гос. номер: С814КУ72",2022-06-15,2500,Renault Sandero,С814КУ72
936,"Заказ-наряд №: 5270 от 17.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-17,4500,Toyota Hilux Pick Up,777
937,"Заказ-наряд №: 5274 от 17.06.2022, ТС: Volkswagen Touareg гос. номер: К020МК 72",2022-06-17,4500,Volkswagen Touareg,К020МК 72
938,"Заказ-наряд №: 5279 от 17.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-17,2500,Toyota Hilux Pick Up,777
939,"Заказ-наряд №: 5280 от 22.06.2022, ТС: LADA GFL 110 VESTA гос. номер: Х318ЕТ797",2022-06-22,2550,LADA GFL 110 VESTA,Х318ЕТ797
940,"Заказ-наряд №: 5282 от 17.06.2022, ТС: LADA VESTA гос. номер: М706ЕН797",2022-06-17,1400,LADA VESTA,М706ЕН797
941,"Заказ-наряд №: 5284 от 17.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-17,1000,Toyota Hilux Pick Up,777
942,"Заказ-наряд №: 5291 от 17.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-17,4000,Toyota Hilux Pick Up,777
943,"Заказ-наряд №: 5296 от 18.06.2022, ТС: Hyundai Solaris гос. номер: Н872ХУ72",2022-06-18,8500,Hyundai Solaris,Н872ХУ72
944,"Заказ-наряд №: 5298 от 18.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-18,2500,Toyota Hilux Pick Up,777
945,"Заказ-наряд №: 5299 от 18.06.2022, ТС: DAIMLER BENZ C180 гос. номер: E616OE72",2022-06-18,1000,DAIMLER BENZ C180,E616OE72
946,"Заказ-наряд №: 5302 от 18.06.2022, ТС: Hyundai Sonata гос. номер: Н430ХС197",2022-06-18,1000,Hyundai Sonata,Н430ХС197
947,"Заказ-наряд №: 5304 от 18.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-18,1000,Toyota Hilux Pick Up,777
948,"Заказ-наряд №: 5305 от 20.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-20,1500,Toyota Hilux Pick Up,777
949,"Заказ-наряд №: 5308 от 18.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-18,1000,Toyota Hilux Pick Up,777
950,"Заказ-наряд №: 5309 от 18.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-18,1000,Toyota Hilux Pick Up,777
951,"Заказ-наряд №: 5311 от 18.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-18,2500,Toyota Hilux Pick Up,777
952,"Заказ-наряд №: 5312 от 18.06.2022, ТС: ГАЗ 2217 гос. номер: С222СЕ72",2022-06-18,10000,ГАЗ 2217,С222СЕ72
953,"Заказ-наряд №: 5316 от 20.06.2022, ТС: Mitsubishi Pajero гос. номер: Е019ОС186",2022-06-20,2000,Mitsubishi Pajero,Е019ОС186
954,"Заказ-наряд №: 5327 от 20.06.2022, ТС: LADA VESTA GFK 110 гос. номер:М213ЕР797",2022-06-20,800,LADA VESTA GFK 110,213ЕР797
955,"Заказ-наряд №: 5329 от 04.07.2022, ТС: Lexus ES250 гос. номер: Р159МС72",2022-07-04,2000,Lexus ES250,Р159МС72
956,"Заказ-наряд №: 5352 от 21.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-21,2900,Toyota Hilux Pick Up,777
957,"Заказ-наряд №: 5358 от 21.06.2022, ТС: LADA VESTA GFK 110 гос. номер:М217ЕР797",2022-06-21,1600,LADA VESTA GFK 110,217ЕР797
958,"Заказ-наряд №: 5361 от 21.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-21,3000,Toyota Hilux Pick Up,777
959,"Заказ-наряд №: 5362 от 09.07.2022, ТС: Toyota Sequoia гос. номер: М245ОК86",2022-07-09,1500,Toyota Sequoia,М245ОК86
960,"Заказ-наряд №: 5364 от 22.06.2022, ТС: LADA LARGUS KSA45L гос. номер:О098ХК72",2022-06-22,4500,LADA LARGUS KSA45L,098ХК72
961,"Заказ-наряд №: 5366 от 22.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-22,2500,Toyota Hilux Pick Up,777
962,"Заказ-наряд №: 5374 от 22.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-22,1200,Toyota Hilux Pick Up,777
963,"Заказ-наряд №: 5373 от 24.06.2022, ТС: Hyundai Solaris гос. номер: С864МК72",2022-06-24,1200,Hyundai Solaris,С864МК72
964,"Заказ-наряд №: 5376 от 22.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-22,2500,Toyota Hilux Pick Up,777
965,"Заказ-наряд №: 5393 от 23.07.2022, ТС: Toyota Sequoia гос. номер: М245ОК86",2022-07-23,1000,Toyota Sequoia,М245ОК86
966,"Заказ-наряд №: 5400 от 24.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-24,3500,Toyota Hilux Pick Up,777
967,"Заказ-наряд №: 5406 от 24.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-24,1000,Toyota Hilux Pick Up,777
968,"Заказ-наряд №: 5408 от 29.06.2022, ТС: Nissan Note гос. номер: О122ХА72",2022-06-29,1000,Nissan Note,О122ХА72
969,"Заказ-наряд №: 5411 от 25.06.2022, ТС: LADA VESTA GFK 110 гос. номер:М217ЕР797",2022-06-25,1500,LADA VESTA GFK 110,217ЕР797
970,"Заказ-наряд №: 5410 от 24.06.2022, ТС: BMW X6 гос. номер: К200МТ150",2022-06-24,2700,BMW X6,К200МТ150
971,"Заказ-наряд №: 5424 от 25.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-25,5000,Toyota Hilux Pick Up,777
972,"Заказ-наряд №: 5431 от 28.06.2022, ТС: Ford Mondeo гос. номер: Р799НК72",2022-06-28,1000,Ford Mondeo,Р799НК72
973,"Заказ-наряд №: 5433 от 26.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-26,3500,Toyota Hilux Pick Up,777
974,"Заказ-наряд №: 5436 от 08.07.2022, ТС: Toyota LАND СRUISЕR 100 гос. номер:Н921СХ86",2022-07-08,6500,Toyota LАND СRUISЕR 100,921СХ86
975,"Заказ-наряд №: 5477 от 28.06.2022, ТС: Kia Rio гос. номер: К540НЕ186",2022-06-28,6099,Kia Rio,К540НЕ186
976,"Заказ-наряд №: 5479 от 29.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-29,500,Toyota Hilux Pick Up,777
977,"Заказ-наряд №: 5483 от 29.06.2022, ТС: Kia Ceed гос. номер: Х099ЕО72",2022-06-29,1600,Kia Ceed,Х099ЕО72
978,"Заказ-наряд №: 5489 от 29.06.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-06-29,3000,Toyota Hilux Pick Up,777
979,"Заказ-наряд №: 5491 от 29.06.2022, ТС: Chevrolet Orlando гос. номер: К787РО 186",2022-06-29,1500,Chevrolet Orlando,К787РО 186
980,"Заказ-наряд №: 5525 от 01.07.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-07-01,6000,Toyota Hilux Pick Up,777
981,"Заказ-наряд №: 5534 от 02.07.2022, ТС: Ford Mondeo гос. номер: Р799НК72",2022-07-02,500,Ford Mondeo,Р799НК72
982,"Заказ-наряд №: 5535 от 22.01.2023, ТС: Самолето Ветролет гос. номер: ",2023-01-22,1000,Самолето Ветролет,
983,"Заказ-наряд №: 5538 от 02.07.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-07-02,999,Toyota Hilux Pick Up,777
984,"Заказ-наряд №: 5552 от 03.07.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-07-03,500,Toyota Hilux Pick Up,777
985,"Заказ-наряд №: 5554 от 03.07.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-07-03,500,Toyota Hilux Pick Up,777
986,"Заказ-наряд №: 5556 от 03.07.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-07-03,3500,Toyota Hilux Pick Up,777
987,"Заказ-наряд №: 5558 от 03.07.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-07-03,1500,Toyota Hilux Pick Up,777
988,"Заказ-наряд №: 5582 от 05.07.2022, ТС: LADA VESTA GFK 110 гос. номер:М556ЕР797",2022-07-05,1700,LADA VESTA GFK 110,556ЕР797
989,"Заказ-наряд №: 5584 от 06.07.2022, ТС: ВАЗ Гранта гос. номер: С010ОХ72",2022-07-06,4000,ВАЗ Гранта,С010ОХ72
990,"Заказ-наряд №: 5591 от 05.07.2022, ТС: Kia Optima гос. номер: О428НВ45",2022-07-05,3500,Kia Optima,О428НВ45
