Наименование работ,Цена,Дата
Диагностика ЭСУД,1000,2022-04-16
Электротехнические работы,1000,2022-04-16
Компьютерная диагностика,1000,2022-04-17
Отключение сервопривода заслонки рециркуляции воздуха,500,2022-04-17
Проверка цепей вентилятора датчика ОЖ,1500,2022-04-17
Ремонт проводки датчика темп,1000,2022-04-17
Диагностика ЭСУД,1000,2022-04-17
Крепление бампера,1500,2022-04-17
Диагностика ЭСУД и проверка блока ДВС,2000,2022-05-15
Замена ЭБУ,1000,2022-05-15
Замена ламп,1000,2022-05-15
Замена ручек двенрей наружных,1500,2022-05-15
Подключение ПТФ и ДХО,500,2022-05-15
Проверка стекла очистителя/ремонт,500,2022-05-15
Разборка//дефектовка  генератора,1000,2022-05-15
Снять поставить генератор,2000,2022-05-15
Комплексная диагностика,2300,2022-04-19
Проверка давления топлива,500,2022-04-19
Ремонт генератора,2500,2022-04-19
Замена колец форсунок,3500,2022-04-19
Компьютерная диагностика,1000,2022-04-19
Топливный насос,2000,2022-04-19
Дефектовка и ремонт стартера,1500,2022-04-20
Компьютерная диагностика,1000,2022-04-20
Замена свечи зажигания ДВС,450,2022-04-20
Компьютерная диагностика,1000,2022-04-20
Электротехнические работы,1500,2022-04-29
Компьютерная диагностика,1000,2022-04-20
Замена свечи зажигания ДВС,450,2022-04-20
Компьютерная диагностика,1000,2022-04-20
Добавление УФ-красителя (диагностика утечки),2000,2022-04-20
Замена свечи зажигания ДВС,450,2022-04-20
Компьютерная диагностика,1000,2022-04-20
Привязка ЭБУ к автомобилю(прошивка),4000,2022-05-11
Проверка фаз и угла опережения зажигания осциллографом,3000,2022-05-11
Компьютерная диагностика,1000,2022-05-07
Компьютерная диагностика,1000,2022-04-22
Ремонт замка багажника,3000,2022-04-22
Электротехнические работы,3000,2022-04-22
Компьютерная диагностика,1000,2022-04-23
Проверка электроцепей и сигнала ДМРВ,1000,2022-04-23
Замена свечей зажигания 4 цилиндр. ДВС,400,2022-04-23
Электротехнические работы,2500,2022-04-23
Диагностика ЭСУД,1000,2022-04-24
Электротехнические работы,500,2022-04-24
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",3500,2022-04-24
Заправка флюорисцентом для проверки утечки,300,2022-04-24
Диагностика ЭСУД,1000,2022-04-24
Замена мотора отопителя,3000,2022-04-24
Электротехнические работы,350,2022-04-26
Электротехнические работы,2000,2022-04-26
Замегна лампочки заднего хода,150,2022-04-26
Замена ламочки ХДЧ,150,2022-04-26
Замена лампочки ближнего/дальнего света,150,2022-04-26
Замена лампочки поворотного огня,150,2022-04-26
Компютерная диагностика поиск неисправности,1000,2022-04-27
Замена модуля зажигания и проводов,2000,2022-04-27
Компютерная диагностика поиск неисправности,1000,2022-04-27
Компьютерная диагностика электронных систем после заправки фреоном,2000,2022-04-27
Компьютерная диагностика электронных систем после заправки фреоном,2000,2022-04-28
Компьютерная диагностика электронных систем после заправки фреоном,4000,2022-04-27
"Заправка кондиц.(газ,масло)и экспресс диагностика джип",3500,2022-04-27
Диагностика электрических систем,1000,2022-04-27
Ремонт Блока Комфорта,2500,2022-04-27
Замена модуля зажигания,300,2022-04-29
Компьютерная диагностика,1000,2022-04-29
Проверка давления топлива,500,2022-04-29
"Проверка программы ЭБУ, ( прошивка стадартной версии с последующим возратомпрошивки )",2500,2022-04-29
"Проверка сигнала ДПКВ, ДПРВ, модуля зажигания осциллографом",2200,2022-04-29
Проверка фаз газораспределенимя,500,2022-04-29
Замена катушки зажигания 1 шт.,400,2022-04-30
Компьютерная диагностика,1000,2022-04-30
Компьютерная диагностика,1000,2022-05-29
Проверка электроцепей ДК1,1000,2022-05-29
Проверка электроцепей подушки безопасности водителя,1500,2022-05-29
Замена лампы освещения передних и задних (7 шт),1000,2022-04-29
Компютерная диагностика поиск неисправности,1000,2022-04-29
Электротехнические работы,500,2022-04-29
Компьютерная диагностика,1000,2022-04-29
Проверка электроцепей стартера и ремонт,2000,2022-04-30
Компютерная диагностика поиск неисправности,1000,2022-04-30
Диагностика ЭСУД,1000,2022-04-30
Компютерная диагностика поиск неисправности,1000,2022-04-30
Ремонт генератора,1500,2022-04-30
Компьютерная диагностика,1000,2022-05-03
Диагностика стеклоподъемника,500,2022-05-03
Ремонт разъема заднего фонаря,500,2022-05-03
Компютерная диагностика поиск неисправности,0,2022-05-03
Проверка давления топлива,0,2022-05-03
Услуги электрика,1500,2022-05-03
Услуги автоэлектрика,5000,2022-05-04
Диагностика ЭСУД,1000,2022-05-04
Свечи зажигания- замена,400,2022-05-04
Замена топливного фильтра погружной в баке,1000,2022-05-06
"Осмотр системы подачи топлива(бензонасоса,магистрали итд.)",500,2022-05-06
Электротехнические работы,3000,2022-05-06
Замена уплотнительных колец на две форсунки,1000,2022-05-06
Диагностика и замена предохранителя,500,2022-05-10
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",3000,2022-05-07
Компютерная диагностика поиск неисправности,1000,2022-05-07
Электротехнические работы,1000,2022-05-08
Электротехнические работы,2000,2022-05-08
Установка камеры заднего вида,2000,2022-05-08
Осмотр камекры,500,2022-05-10
Проверка давления в системе питания муфты компрессора кондиционера,1000,2022-05-10
Проверка тросика и тяги заслонки смесителя,500,2022-05-10
Чистка радиатора,2000,2022-05-10
Пропайка (частичная) приборной панели,2500,2022-05-11
Компьютерная диагностика,1000,2022-05-11
Замена габаритных ламп со снятием фар,500,2022-05-11
Компьютерная диагностика,1000,2022-05-11
Замена лампы ПТФ,250,2022-05-14
Замена предохранителя,50,2022-05-14
Датчик кислорода(лямдазонд)-снятие/установка,1500,2022-05-13
Замена лампочек,1,2022-05-13
Замена подрулевого шлейфа,2000,2022-05-13
Простая замена эл ламп освещения,150,2022-05-14
Замена предохранителя,500,2022-05-14
Диагностика ДВС,1000,2022-05-14
Комплексная диагностика,1000,2022-05-14
Комплексная диагностика,2000,2022-05-14
Компьютерная диагностика,1000,2022-05-15
Подключение ПТФ,1500,2022-05-15
Установка ПТФ,2000,2022-05-15
Электронная регулировкеа задних колодок,500,2022-05-17
Замена лампочек задних  габаритных,300,2022-05-17
Замена лампочек передних габаритных,300,2022-05-17
Замена лампы фары передней ближнего дальнего огня,150,2022-05-17
Компютерная диагностика поиск неисправности,1000,2022-05-17
Компютерная диагностика поиск неисправности,1000,2022-05-20
Проверка сигналов  датчиков осциллографом,2000,2022-05-20
Компютерная диагностика поиск неисправности,1000,2022-05-17
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",3500,2022-05-17
Поиск утечки фриона,300,2022-05-17
Компютерная диагностика поиск неисправности,1000,2022-05-18
Компьютерная диагностика,1000,2022-05-17
Компютерная диагностика поиск неисправности,1000,2022-05-18
Компютерная диагностика поиск неисправности,1500,2022-05-18
Ремонт электропроводки колонок,1000,2022-05-18
Компютерная диагностика поиск неисправности,1000,2022-05-18
Ремонт генератора,2500,2022-05-18
Компютерная диагностика поиск неисправности,1000,2022-05-18
Замена трапеции щеток стеклочистителя,2000,2022-05-19
Компютерная диагностика поиск неисправности,2000,2022-05-20
Замена лампочки,150,2022-05-22
Компютерная диагностика поиск неисправности,1000,2022-05-22
Электротехнические работы,2350,2022-05-22
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",3500,2022-05-26
Промывка очистка форсунок,2000,2022-05-24
Проверка предохранителя поиск К3,2300,2022-05-24
Ремонт электропроводки,1300,2022-05-24
Ремонт Электропроводки,2000,2022-05-24
Диагностика неисправновти проверка питания насоса,1000,2022-05-24
Замена топливного насоса и фильтра,1500,2022-05-24
Электронная регулировка колодок,500,2022-05-25
Заправка кондиционера,2500,2022-05-25
Замена лампочек,2100,2022-05-25
Замена предохранителя,500,2022-05-25
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",2500,2022-05-25
Компютерная диагностика поиск неисправности,1000,2022-05-25
Проверка цепи подогрева ДК1,500,2022-05-25
Датчик ГУР-снятие/установка,500,2022-05-28
Датчик кислорода(лямдазонд)-снятие/установка,1500,2022-05-28
Замена В/В проводов с демонтажем впускного коллектора,2000,2022-05-28
Модуль топливного насоса,2000,2022-05-28
Провепк неисправности,1000,2022-05-28
Проверка цепи подогрева ДК1,500,2022-05-28
Проверка/чистка разъемов ЭСУД  от масла,2000,2022-05-28
Электротехнические работы,4500,2022-05-25
Заправка кондиционера,4200,2022-05-25
Электротехнические работы,3000,2022-05-25
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-05-27
Замена вентилятора охлаждения,1500,2022-05-27
Заправка кондиционера,2500,2022-05-27
Промывка очистка форсунок,2000,2022-05-27
Замена проводов В/В и свечей,1000,2022-05-27
Компьютерная диагностика,1000,2022-05-27
Компьютерная диагностика,1000,2022-05-28
Замена проводки АВС,1000,2022-05-28
Электротехнические работы,3000,2022-05-28
Бензонасос-снятие/установка,2000,2022-05-27
Компютерная диагностика поиск неисправности,1000,2022-05-27
Замена модуля катушки и свечей,1500,2022-05-29
Свечи зажигания- замена,400,2022-05-29
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",2500,2022-05-31
Диагностика неисправности,1000,2022-06-10
Компьютерная диагностика,1000,2022-06-10
Проверка форсунок по обработке,1000,2022-06-10
Проверка электроцепей вентилятора охлаждения,1000,2022-06-10
Ремонт электропроводки,500,2022-06-10
Ремонт электропроводки ЭСУД,2000,2022-06-10
Змена подрулевого переключателя,1000,2022-05-31
Промывка радиатора печки,2000,2022-05-31
Компьютерная диагностика,1000,2022-05-31
Электротехнические работы,1000,2022-05-31
Бензонасос-снятие/установка,2000,2022-05-31
Компьютерная диагностика,1000,2022-05-31
Поиск КЗ и ее устранкение и ремонт проводки,3500,2022-06-01
Сборка салона,1500,2022-06-01
Компьютерная диагностика,1000,2022-06-01
Установка сигнала,2000,2022-06-01
Компютерная диагностика поиск неисправности,1000,2022-06-01
Ремонт лектропроводки,2000,2022-06-01
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-06-01
Замена датчика коленвала,1000,2022-06-01
Электротехнические работы,1500,2022-06-01
Демонтаж/Монтаж трубки кондиционера,600,2022-06-03
Замена золотника высокого давления,200,2022-06-03
Замена фильтра салона,300,2022-06-03
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",5000,2022-06-03
Проверка герметичности кондиционера,1000,2022-06-03
Промывка радиаторов,1500,2022-06-03
Демонтаж/монтаж дроссельной заслонки,500,2022-06-03
Компьютерная диагностика,1000,2022-06-03
Профилактические работы по дроссельной заслонки,500,2022-06-03
Компьютерная диагностика,1000,2022-06-04
Проверка электро цепей нагревателя ДК2,1000,2022-06-04
Датчик кислорода(лямдазонд)-снятие/установка,1500,2022-06-04
Компютерная диагностика поиск неисправности,1000,2022-06-04
Электротехнические работы,5000,2022-06-04
"Заправка кондиц.(газ,масло)и экспресс диагностика джип",4500,2022-12-28
Компьютерная диагностика,1000,2022-06-05
Электротехнические работы,1500,2022-06-05
Диагностика электрооборудования,1000,2022-06-07
Компютерная диагностика поиск неисправности,1000,2022-06-07
Ремонт электрооборудования,1500,2022-06-07
Демонтаж/монтаж дроссельной заслонки,500,2022-06-07
Компютерная диагностика/поиск неисправности,1000,2022-06-07
Промывка дроссельной заслонки,500,2022-06-07
Замена катушки зажигания (3- го цилиндра) 1 шт.,200,2022-06-07
Компьютерная диагностика,1000,2022-06-07
Компьютерная диагностика,1000,2022-06-07
Электротехнические работы,500,2022-06-07
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",2500,2022-06-07
Замена лам,600,2022-06-07
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-06-07
Диагностика подушки безопасности водителя,1000,2022-06-07
Замена катушки зажигания 1 шт.,200,2022-06-07
Замена свечей зажигания 4 цилиндр. ДВС,400,2022-06-07
Дефектовка генератора,1500,2022-06-08
"Ремонт генератора, замена коллектора",1000,2022-06-08
Компютерная диагностика поиск неисправности,1000,2022-06-08
Электронная регулировка колодок,500,2022-06-08
Обивка снятие/установка задней левой двери,350,2022-06-08
Ремонт ручки   открывания   задней левой двери,350,2022-06-08
Ручка внутренняя  снятие/установка  задней левой двери,300,2022-06-08
Проверка и поиск утечки тока,1000,2022-06-16
Ремонт приборной панели,5000,2022-06-16
Замена мотора отопителя,3000,2022-06-10
Компьютерная диагностика,1000,2022-06-10
Компъютерная диагностика,1000,2022-06-10
Компьютерная диагностика,1000,2022-06-10
Компьютерная диагностика,1000,2022-06-10
Компьютерная диагностика,1000,2022-06-10
Электротехнические работы,500,2022-06-11
Электротехнические работы,1400,2022-06-11
Электротехнические работы,1750,2022-06-11
Диагностика электрооборудования,1000,2023-01-22
Промывка форсунок,1500,2022-06-11
"Диагностика перпеключателя сиденья, проверка питания",1000,2022-06-11
Компьютерная диагностика,1000,2022-06-11
"Снятие установка сиденья водителя, ремонт электропроволдки",2000,2022-06-11
Электротехнические работы,1500,2022-06-12
Компютерная диагностика поиск неисправности,3000,2022-06-12
Компютерная диагностика поиск неисправности,1000,2022-06-12
Компютерная диагностика поиск неисправности,1000,2022-06-12
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",500,2022-06-15
Электротехнические работы ремонт электропроводки,3000,2022-06-14
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-06-14
Свечи зажигания- замена,400,2022-06-14
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-06-14
Очистка дроссельной заслонки,500,2022-06-14
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках,адаптация дроссельной заслонки",1000,2022-06-14
Демонтаж/монтаж дроссельной заслонки,500,2022-06-14
Электротехнические работы,500,2022-06-15
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-06-15
Заправка кондиционера,2500,2022-06-15
"Заправка спецжидкостями(масло,антифриз,фреон и т.д)",4500,2022-06-17
Замена вентилятора печки салона,2500,2022-06-17
Компютерная диагностика поиск неисправности,2000,2022-06-17
Заправка кондиционера,2500,2022-06-17
Замена предохранителя,50,2022-06-22
Компютерная диагностика электрооборудования,500,2022-06-22
Проверка . ремонт  проводки электрооборудования,2000,2022-06-22
Компьютерная диагностика,800,2022-06-17
Проверка системы кондиционирования,600,2022-06-17
Диагностика электрооборудования (генератора),1000,2022-06-17
Заправка кондиционера,3500,2022-06-17
Электротехнические работы,500,2022-06-17
Замена ламп приборной доски,1000,2022-06-18
Компютерная диагностика поиск неисправности,1000,2022-06-18
Проверка замена клапана ванос,500,2022-06-18
Прошивка ЕВРО-2,6000,2022-06-18
Заправка кондиционера,2500,2022-06-18
Компьютерная диагностика,1000,2022-06-18
Компьютерная диагностика электронных систем,1000,2022-06-18
Компьютерная диагностика,1000,2022-06-18
Компьютерная диагностика,1500,2022-06-20
Компьютерная диагностика,1000,2022-06-18
Компьютерная диагностика,1000,2022-06-18
Заправка кондиционера,2500,2022-06-18
Прошивка евро 2,10000,2022-06-18
Замер топлива,1000,2022-06-20
Компютерная диагностика поиск неисправности,1000,2022-06-20
Компьютерная диагностика,800,2022-06-20
АКБ-замена,500,2022-07-04
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-07-04
Электротехнические работы,500,2022-07-04
Замена золотников заправочных портов,400,2022-06-21
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",2500,2022-06-21
Бензонасос-разборка/сборка,800,2022-06-21
Бензонасос-снятие/установка,800,2022-06-21
Электротехнические работы,3000,2022-06-21
Компютерная диагностика поиск неисправности,1000,2022-07-09
Провкерка катушки зажигания,500,2022-07-09
Промывка очистка форсунок,2500,2022-06-22
Ремонт регулятора холостого хода,2000,2022-06-22
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",2500,2022-06-22
Замена катушки зажигания 1 шт.,200,2022-06-22
Компьютерная диагностика,1000,2022-06-22
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-06-24
Замена датчика массового расхода воздуха,200,2022-06-24
Ремонт люка,1000,2022-06-22
Ремонт фар,1500,2022-06-22
Компьютерная диагностика,1000,2022-07-23
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",3500,2022-06-24
Компютерная диагностика поиск неисправности,1000,2022-06-24
Поиск утечки,1000,2022-06-29
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",1500,2022-06-25
"Заправка кондиц.(газ,масло)и экспресс диагностика джип с добавлением красителя",2700,2022-06-24
Электротехнические работы,5000,2022-06-25
Компютерная диагностика поиск неисправности,1000,2022-06-28
Электротехнические работы,3500,2022-06-26
"Заправка кондиц.(газ,масло)и экспресс диагностика джип",4500,2022-07-08
Экспресс диагностика герметичности кондиционера,2000,2022-07-08
Замена свечей и катушек зажигания,799,2022-06-28
Компьютерная диагностика,1000,2022-06-28
Проверка и замена ламп (9шт),1000,2022-06-28
Проверка катушек  и свечей,500,2022-06-28
Регулировка натядения ремня генератора,300,2022-06-28
Ремонт брелка сигнализации(чистка и замена 1й кнопкир),500,2022-06-28
Ремонт электропроводки багажника,1500,2022-06-28
Ремонт электроцепей автозапуска,500,2022-06-28
Убрать ошибки,500,2022-06-29
Замена катушки зажигания 1 шт.,200,2022-06-29
Замена свечи зажигания ДВС,400,2022-06-29
Компютерная диагностика поиск неисправности,1000,2022-06-29
Электротехнические работы,3000,2022-06-29
Компьютерная диагностика,1000,2022-06-29
Обжимка клемы,500,2022-06-29
Электротехнические работы,6000,2022-07-01
Замер утечки тока и проверка АКБ,500,2022-07-02
Диагностика электрооборудования,1000,2023-01-22
Электротехнические работы,999,2022-07-02
Проверка электрооборудования,500,2022-07-03
Замена аккамуляторной клемы с доработкой,500,2022-07-03
Бензонасос-разборка/сборка,1000,2022-07-03
Бензонасос-снятие/установка,1500,2022-07-03
Компьютерная диагностика,1000,2022-07-03
Компьютерная диагностика,1000,2022-07-03
Чистка контактов,500,2022-07-03
Демонтаж/монтаж дроссельной заслонки,400,2022-07-05
Замена датчика положения коленвала,200,2022-07-05
Компютерная диагностика электрооборудования,500,2022-07-05
Чистка дроссельной заслонки,600,2022-07-05
Прошивка EVRO -  2,4000,2022-07-06
Компютерная диагностика поиск неисправности,1000,2022-07-05
Проверка работоспособности клапанов VVT,500,2022-07-05
"Проверка сигналов ДПКВ, ДПРВ и синхронизации осциллографом",2000,2022-07-05
Перепайка фишки подключения насоса,500,2022-07-05
Диагностика ЭСУД,1000,2022-07-06
Замена блока ЭБУ,3000,2022-08-27
Ремонт электропроводки,2000,2022-08-27
Компьютерная диагностика,1000,2022-07-07
Проверка герметичности впускного коллектора,500,2022-07-07
Проверка давления топлива (ОК),500,2022-07-07
Проверка подрулевого переключателя,500,2022-07-07
Проверка свечей зажигания и высоковольтных проводов,500,2022-07-07
Диагностика неисправности стартера,500,2022-07-08
Ремонт стартера/сборка/разборка,1000,2022-07-08
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",2500,2022-07-08
Компютерная диагностика поиск неисправности,1000,2022-07-08
Компютерная диагностика поиск неисправности,1000,2022-07-08
Экспресс диагностика кондиционера,1500,2022-07-08
Очистка и промывка радиаторов без демонтажа,1500,2022-07-09
Компьютерная диагностика,1000,2022-07-10
Проверка сигналов ДПКВ-ДПРВ и эталонная осциллограмма,2000,2022-07-10
Чистка клапана VVT,500,2022-07-10
Диффектовка генератора,500,2022-07-09
Ремонт генератора,1500,2022-07-09
Заправка кондиционера (с учетом фриона),1500,2022-08-02
Диагностика герметичности системы (УФ-краситель в системе) 2 кондиц.,200,2022-07-10
Заправка кондиционера,2500,2022-07-10
Диагностика неисправности ДВС,1000,2022-07-13
Замена В/В проводов,100,2022-07-13
Замена наконечников на катушки зажигания,200,2022-07-13
Замена свечи зажигания ДВС,400,2022-07-13
Мойка радиатора,1500,2022-07-10
Промывка инжекторов,2500,2022-07-10
Диагностика ДВС,1000,2022-07-15
Ремонт электропроводки,1000,2022-07-15
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",2500,2022-07-13
Компютерная диагностика поиск неисправности,1000,2022-07-13
Осмотр подушек,500,2022-07-13
Диагностика герметичности системы (УФ-краситель в системе) 1 кондиц.,1000,2022-07-13
Диагностика ДВС,500,2022-07-16
"Заправка кондиц.(газ,масло)и экспресс диагностика джип",4200,2022-07-15
Замена воздушного фильта ДВС,100,2022-07-15
Замена фильтра салона,200,2022-07-15
Очистка и промывка радиаторов без демонтажа,2000,2022-07-15
Диагностика ЭСУД,500,2022-07-15
Демонтаж - монаж вентилятора печки,1500,2022-07-16
Диагностика симстемы отопления,1000,2022-07-16
Диффектовка генератора,500,2022-07-16
Ремонт генератора,2000,2022-07-16
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",1500,2022-07-16
Замена датчика распредвала,500,2022-07-25
Датчик кислорода(лямдазонд)-снятие/установка,1000,2022-07-19
Компютерная диагностика поиск неисправности,1000,2022-07-19
 Диагностика электрооборудования,500,2022-07-21
Проверка давления топлива,500,2022-07-21
"Проверка катушек зажигания и свечей, удаление воды из свечных колодцах",1000,2022-07-21
Стартер-снятие/установка,1000,2022-07-21
"Удаление воды из впускного коллектора патрубка воздушного фильтра, прочихэлементов",2000,2022-07-21
Диагностика электрооборудования  и электропроводки,1000,2022-07-19
Поиск короткого замыкания в цепи правого указателя поворота,3000,2022-07-19
Диагностика электрооборудования,500,2022-07-19
Замена дроссельной заслонки,500,2022-07-19
Замена датчика,500,2022-07-19
Компютерная диагностика кондицимонера,1500,2022-07-19
Диагностика электрооборудования бензонасоса,500,2022-07-19
Дефектовка стартера,500,2022-07-30
Компьютерная диагностика,1000,2022-07-30
Ремонт стартера,1000,2022-07-30
Компьютерная диагностика,1000,2022-07-20
Проверка утечки тока,500,2022-07-20
Сброс кодов ошибок,500,2022-07-20
Замена мотора привода заслонки отопителя,3500,2022-07-30
 Блок управления вентилятора -демонтаж/монтаж,2000,2022-07-26
Компютерная диагностика поиск неисправности,500,2022-07-26
Проверка электроцепей вентилятора охлаждения,1000,2022-07-26
Электротехнические работы,1800,2022-07-20
Диагностика электрооборудования,1000,2022-07-20
Электротехнические работы,1500,2022-07-20
Диагностика электрооборудования,500,2022-08-02
Ремонт электропроводки,1000,2022-08-02
Свечи зажигания- замена,400,2022-08-02
Компютерная диагностика поиск неисправности,1000,2022-07-21
Компютерная диагностика поиск неисправности,1000,2022-07-21
Электротехнические работы,500,2022-07-22
Электротехнические работы,2500,2022-07-22
Электротехнические работы,2500,2022-07-22
Компьютерная диагностика,1000,2022-07-23
Компютерная диагностика,1000,2022-07-23
Электротехнияеские работы,6500,2022-07-23
Электротехнические работы,2000,2022-07-23
Ремонт генератора,1500,2022-07-23
Электротехнические работы,2500,2022-07-23
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",2500,2022-07-24
Замена блока управления вентилятором,500,2022-07-26
Компьютерная диагностика,500,2022-07-26
Проверка электроцепей вентилятора охлаждения,500,2022-07-26
Электротехнические работы,500,2022-07-24
Компютерная диагностика поиск неисправности,1000,2022-07-24
Электрическая регулировка колодок задних,600,2022-07-25
Диагностика электрооборудования,500,2022-07-27
Замена свечи зажигания ДВС,400,2022-07-27
Бензонасос- расборка/сборка/ пайка электропроводки,1500,2022-08-02
Бензонасос-снятие/установка,800,2022-08-02
Проверка эл.цепей бензонасоса,500,2022-08-02
Диагностика ДВС,1000,2022-07-26
"Заправка кондиц.(газ,масло)и экспресс диагностика джип",4500,2022-07-26
Развальцовка трубки кондиционера,500,2022-07-26
Промывка очистка форсунок,2500,2022-07-27
Ремонт трубок кондиционера,4000,2022-07-27
Компютерная диагностика поиск неисправности,1000,2022-07-27
Электротехнические работы,500,2022-07-27
Диффектовка генератора,1000,2022-07-30
Подключение разетки через блок на фаркоп,3000,2022-07-27
Демонтаж/монтаж дроссельной заслонки,500,2022-08-20
Замена катушки зажигания 1 шт.(4го),200,2022-08-20
Замена свечи зажигания ДВС,400,2022-08-20
Компьютерная диагностика,1000,2022-08-20
Проверка электроцепей вентиляторов охлажденимя,1500,2022-08-20
Промывка дроссельной заслонки ( без учета материала),750,2022-08-20
Промывка очистка форсунок,2500,2022-08-20
Прооверка датчика парковки,800,2022-08-20
Ремонт приборной панели(подсветка),2500,2022-08-20
Ремонт электропроводки вентилятора,700,2022-08-20
Компютерная диагностика поиск неисправности,1000,2022-07-27
Ремонт электропроводки,500,2022-07-27
Ремонт стартера,1500,2022-07-27
Замена золотника +(заправка по прайсу),200,2022-07-29
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",2700,2022-07-29
Диагностика электрооборудования,1000,2022-07-29
Ремонт электроразъемов,1000,2022-07-29
Диагностика электрооборудования,1000,2022-07-29
Замена свечи зажигания ДВС,400,2022-07-29
Замена вентилятора охлаждения,1000,2022-07-29
Диагностика электрооборудования,500,2022-08-05
Бензонасос-разборка/сборка,500,2022-07-30
Бензонасос-снятие/установка,800,2022-07-30
Диагностика электрооборудования,500,2022-07-30
Лампа ПТФ замена,500,2022-07-30
Диагностика электрооборудования,500,2022-08-02
Отключение блокировки,1000,2022-08-02
Диффектовка генератора,500,2022-07-31
Ремонт генератора,1000,2022-07-31
Диагностика электрооборудования,500,2022-07-31
Замена подрулевого переключателя,1000,2022-07-31
Ремонт подрулевого переключателя,1000,2022-07-31
Компьютерная диагностика,1000,2022-07-31
Профилактические работы электроразъемов,500,2022-07-31
Ремонт электропроводки,3000,2022-07-31
Диагностика электрооборудования,500,2022-08-02
Диагностика электрооборудования,1000,2022-08-02
Диагностика электрооборудования,1000,2022-08-02
Компьютерная диагностика электронных систем,500,2022-08-02
Электротехнические работы,2500,2022-08-02
Диагностика электрооборудования,1000,2022-08-02
"Заправка спецжидкостями(масло,антифриз,фреон и т.д)",4000,2022-08-03
Компьютерная диагностика,1000,2022-08-03
Замена свечи зажигания ДВС,400,2022-08-03
Компьютерная диагностика,500,2022-08-03
Разблокировка блока,1000,2022-08-03
Замена камеры заднего вида,2000,2022-08-03
Проверка электроцепей,1000,2022-08-03
Осмотр ДВС,500,2022-08-05
Компъютерная диагностика ДВС,500,2022-08-09
Проверка АКБ,300,2022-08-09
Проверка зарядки и электроцепей генератора,1000,2022-08-09
Глушение  заднего кондесатора,2000,2022-08-05
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",3000,2022-08-05
Замена свечи зажигания ДВС,400,2022-08-05
Компьютерная диагностика,500,2022-08-05
Проверка катушки зажигания,300,2022-08-05
Компьютерная диагностика,1000,2022-08-05
Замена В/В проводов,200,2022-08-09
Замена свечи зажигания ДВС,400,2022-08-09
Компютерная диагностика поиск неисправности,500,2022-08-09
Проверка зарядки и электроцепей генератора,1000,2022-08-10
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",2500,2022-08-05
Очистка и промывка радиатора кондиционера  без демонтажа,2000,2022-08-05
Компютерная диагностикаэл ектрооборудования,500,2022-08-09
Проверка зарядки и электроцепей генератора,1000,2022-08-09
Замена свечи зажигания ДВС,400,2022-08-06
Компьютерная диагностика электрооборудования,500,2022-08-06
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",2500,2022-08-06
Компютерная диагностика поиск неисправности,2000,2022-08-06
Электротехнические работы,500,2022-08-06
 Диагностика электрооборудования,500,2022-08-11
Бампер передний-снятие установка,2000,2022-08-11
Замена лампочек,400,2022-08-11
Фара передняя левая снятие/установка,400,2022-08-11
Диагностика ЭСУД,850,2022-08-09
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",2500,2022-08-09
Ремонт стартера,1000,2022-08-09
Проверка электроцепей генгератора,500,2022-08-09
Демонтаж/монтаж дроссельной заслонки,400,2022-08-09
